event_id,event_type,event_timestamp,location_id,zone,location_detail,security_level,severity_level,employee_id,badge_number,visitor_id,camera_id,access_granted,access_denied_reason,incident_number,incident_category,incident_severity,incident_description,responding_officer_id,resolution_status,vehicle_license_plate,alarm_type,patrol_route,shift,_ingested_at,_source,_batch_id
sec-001-a1b2c3d4,BADGE_SWIPE,2024-01-15T06:00:00,LOC-ENT101,Employee Entrance,Employee Entrance - Main,Employee,LOW,EMP-00123,BDG-45678,,,,True,,,,,,,,,,Day,2024-01-15T06:00:00,SecurityGenerator,batch001
sec-002-b2c3d4e5,BADGE_SWIPE,2024-01-15T06:05:00,LOC-MF201,Main Floor,Main Floor - North,Public,LOW,EMP-00234,BDG-56789,,,,True,,,,,,,,,,Day,2024-01-15T06:05:00,SecurityGenerator,batch001
sec-003-c3d4e5f6,ACCESS_DENIED,2024-01-15T06:10:00,LOC-CR301,Count Room,Count Room - Central,High Security,MEDIUM,EMP-00345,BDG-67890,,,,False,Insufficient Access Level,,,,,,,,,Day,2024-01-15T06:10:00,SecurityGenerator,batch001
sec-004-d4e5f6a7,DOOR_ENTRY,2024-01-15T06:15:00,LOC-CG401,Cage,Cage - Main,Restricted,LOW,EMP-00456,BDG-78901,,,,True,,,,,,,,,,Day,2024-01-15T06:15:00,SecurityGenerator,batch001
sec-005-e5f6a7b8,CAMERA_ALERT,2024-01-15T06:30:00,LOC-MF202,Main Floor,Main Floor - South,Public,LOW,,,,,CAM-0045,,,,,Motion Detected,,,,,Day,2024-01-15T06:30:00,SecurityGenerator,batch001
sec-006-f6a7b8c9,SECURITY_PATROL,2024-01-15T07:00:00,LOC-PKG501,Parking Garage,Parking Garage - Level 2,Employee,LOW,EMP-00567,BDG-89012,,,,,,,,,,,Route-A,,Day,2024-01-15T07:00:00,SecurityGenerator,batch001
sec-007-a7b8c9d0,MOTION_DETECTED,2024-01-15T07:15:00,LOC-LD601,Loading Dock,Loading Dock - East,Restricted,LOW,,,,,CAM-0078,,,,,Unusual Activity,,,,,Day,2024-01-15T07:15:00,SecurityGenerator,batch001
sec-008-b8c9d0e1,BADGE_SWIPE,2024-01-15T07:30:00,LOC-SR701,Surveillance Room,Surveillance Room - Central,High Security,LOW,EMP-00678,BDG-90123,,,,True,,,,,,,,,,Day,2024-01-15T07:30:00,SecurityGenerator,batch001
sec-009-c9d0e1f2,EXCLUSION_CHECK,2024-01-15T08:00:00,LOC-MF203,Main Floor,Main Floor - East,Public,MEDIUM,,,,,,,INC-20240115-001,,Medium,Self-exclusion list match detected,SEC-015,Investigating,,,Day,2024-01-15T08:00:00,SecurityGenerator,batch001
sec-010-d0e1f2a3,INCIDENT_REPORT,2024-01-15T08:30:00,LOC-BAR801,Bar,Bar - Central,Public,MEDIUM,,,,,,,INC-20240115-002,Disturbance,Medium,Patron became verbally aggressive with bartender,SEC-023,Resolved,,,Day,2024-01-15T08:30:00,SecurityGenerator,batch001
sec-011-e1f2a3b4,ACCESS_GRANTED,2024-01-15T09:00:00,LOC-VLT901,Vault,Vault - Main,High Security,LOW,EMP-00789,BDG-01234,,,,True,,,,,,,,,,Day,2024-01-15T09:00:00,SecurityGenerator,batch001
sec-012-f2a3b4c5,CAMERA_OBSTRUCTION,2024-01-15T09:15:00,LOC-MF204,Main Floor,Main Floor - West,Public,MEDIUM,,,,,CAM-0092,,,,,Object Left Behind,,,,,Day,2024-01-15T09:15:00,SecurityGenerator,batch001
sec-013-a3b4c5d6,SUSPICIOUS_ACTIVITY,2024-01-15T09:30:00,LOC-MF205,Main Floor,Main Floor - Central,Public,MEDIUM,,,,,,,SAR-20240115-01,,,Patron observed photographing gaming areas,SEC-034,Investigating,,,Day,2024-01-15T09:30:00,SecurityGenerator,batch001
sec-014-b4c5d6e7,BADGE_SWIPE,2024-01-15T10:00:00,LOC-EXO101,Executive Offices,Executive Offices - North,Restricted,LOW,EMP-00890,BDG-12345,,,,True,,,,,,,,,,Day,2024-01-15T10:00:00,SecurityGenerator,batch001
sec-015-c5d6e7f8,ESCORT_REQUEST,2024-01-15T10:30:00,LOC-CG402,Cage,Cage - VIP,Restricted,LOW,,,,,,,,,,,Large cash out escort,SEC-045,Resolved,,,Day,2024-01-15T10:30:00,SecurityGenerator,batch001
sec-016-d6e7f8a9,MEDICAL_EMERGENCY,2024-01-15T11:00:00,LOC-RST102,Restaurant,Restaurant - Central,Public,HIGH,,,,,,,MED-20240115-01,Medical,High,Patron fainted on gaming floor,SEC-012,Resolved,,,Day,2024-01-15T11:00:00,SecurityGenerator,batch001
sec-017-e7f8a9b0,PATRON_COMPLAINT,2024-01-15T11:30:00,LOC-MF206,Main Floor,Main Floor - North,Public,LOW,,,,,,,INC-20240115-003,,Low,Complaint about machine malfunction,SEC-056,Closed,,,Day,2024-01-15T11:30:00,SecurityGenerator,batch001
sec-018-f8a9b0c1,ALTERCATION,2024-01-15T12:00:00,LOC-BAR802,Bar,Bar - West,Public,HIGH,,,,,,,INC-20240115-004,Disturbance,High,Physical altercation between two patrons,SEC-067,Investigating,,,Day,2024-01-15T12:00:00,SecurityGenerator,batch001
sec-019-a9b0c1d2,EXCLUSION_VIOLATION,2024-01-15T14:00:00,LOC-MF207,Main Floor,Main Floor - South,Public,CRITICAL,,,,,,,EXC-20240115-01,Self-Exclusion Violation,Critical,State exclusion list match,SEC-078,Open,,,Swing,2024-01-15T14:00:00,SecurityGenerator,batch001
sec-020-b0c1d2e3,SECURITY_PATROL,2024-01-15T14:30:00,LOC-HL103,Hotel Lobby,Hotel Lobby - Main,Public,LOW,EMP-00901,BDG-23456,,,,,,,,,,,Route-B,,Swing,2024-01-15T14:30:00,SecurityGenerator,batch001
sec-021-c1d2e3f4,CAMERA_ALERT,2024-01-15T15:00:00,LOC-RTL104,Retail,Retail - East,Public,LOW,,,,,CAM-0156,,,,,Face Detection,,,,,Swing,2024-01-15T15:00:00,SecurityGenerator,batch001
sec-022-d2e3f4a5,UNAUTHORIZED_ACCESS,2024-01-15T15:30:00,LOC-SVR105,Server Room,Server Room - Central,High Security,HIGH,EMP-00012,BDG-34567,,,,False,Badge Read Error,THR-20240115-01,,,Unauthorized individual in restricted area,SEC-089,Investigating,,,Swing,2024-01-15T15:30:00,SecurityGenerator,batch001
sec-023-e3f4a5b6,TRESPASS,2024-01-15T16:00:00,LOC-PKG502,Parking Garage,Parking Garage - Level 3,Employee,HIGH,,,VIS-12345,,,,THR-20240115-02,Trespass,High,Previous trespass warning violation,SEC-090,Open,ABC-1234,,Swing,2024-01-15T16:00:00,SecurityGenerator,batch001
sec-024-f4a5b6c7,BADGE_SWIPE,2024-01-15T16:30:00,LOC-MF208,Main Floor,Main Floor - Central,Public,LOW,EMP-00123,BDG-45678,,,,True,,,,,,,,,,Swing,2024-01-15T16:30:00,SecurityGenerator,batch001
sec-025-a5b6c7d8,THREAT_DETECTED,2024-01-15T17:00:00,LOC-MF209,Main Floor,Main Floor - East,Public,CRITICAL,,,,,,,THR-20240115-03,,Critical,Verbal threat reported,SEC-001,Investigating,,,Swing,2024-01-15T17:00:00,SecurityGenerator,batch001
sec-026-b6c7d8e9,DOOR_ENTRY,2024-01-15T17:30:00,LOC-CR302,Count Room,Count Room - Secondary,High Security,LOW,EMP-00234,BDG-56789,,,,True,,,,,,,,,,Swing,2024-01-15T17:30:00,SecurityGenerator,batch001
sec-027-c7d8e9f0,SECURITY_PATROL,2024-01-15T18:00:00,LOC-MF210,Main Floor,Main Floor - West,Public,LOW,EMP-00345,BDG-67890,,,,,,,,,,,Route-C,,Swing,2024-01-15T18:00:00,SecurityGenerator,batch001
